index,seed,batch_size,learning_rate,mse_x100
270,1567316106,16,0.0001,5.231782
506,2656397739,16,0.0001,3.253908
212,1237334616,16,0.0001,2.465651
471,2487937366,16,0.0001,2.130254
21,132138180,16,0.0001,5.439772
130,717615322,16,0.0001,2.312651
766,4105568600,16,0.0001,5.594948
214,1251138396,16,0.0001,3.740966
218,1268563555,16,0.0001,2.453886
58,388515000,16,0.0001,2.800126
394,2151880334,16,0.0001,2.343934
367,2072026239,16,0.0001,4.273454
232,1355468786,16,0.0001,2.340779
18,109829537,16,0.0001,3.934157
317,1810198714,16,0.0001,1.954119
553,2956320264,16,0.0001,2.060579
541,2862748497,16,0.0001,2.342021
388,2142096960,16,0.0001,2.552701
540,2861747614,16,0.0001,7.39485
234,1356025002,16,0.0001,2.345484
552,2953303914,16,0.0001,4.257498
717,3907182663,16,0.0001,5.220973
687,3721306153,16,0.0001,2.132303
229,1334454980,16,0.0001,6.49364
12,81376418,16,0.0001,1.653543
696,3806162886,16,0.0001,1.457958
128,715389675,16,0.0001,2.206903
648,3489233701,16,0.0001,1.642036
68,444574582,16,0.0001,2.708255
684,3715025430,16,0.0001,5.007334
725,3937593489,16,0.0001,5.306911
187,1087633206,16,0.0001,5.423841
426,2286060493,16,0.0001,1.945653
799,4293992114,16,0.0001,1.925989
670,3626774581,16,0.0001,3.537573
599,3176968626,16,0.0001,1.825243
613,3241846684,16,0.0001,3.449486
699,3826863152,16,0.0001,1.559485
561,3002124248,16,0.0001,1.762713
442,2364649842,16,0.0001,7.128278
369,2083604620,16,0.0001,3.96764
421,2265877824,16,0.0001,2.382487
557,2986934412,16,0.0001,4.910392
416,2250412969,16,0.0001,3.654408
517,2690764351,16,0.0001,6.109954
571,3052818142,16,0.0001,2.025334
597,3174739715,16,0.0001,4.882478
463,2463941285,16,0.0001,4.579471
201,1163499228,16,0.0001,2.978356
376,2108367997,16,0.0001,1.433259
48,313382871,16,0.0001,3.744949
205,1185413329,16,0.0001,5.601589
563,3004948968,16,0.0001,1.732538
311,1764398295,16,0.0001,1.492299
224,1288653364,16,0.0001,2.415399
447,2390678237,16,0.0001,4.840683
171,975858868,16,0.0001,5.302023
308,1748619445,16,0.0001,5.304109
11,74293199,16,0.0001,4.415723
40,262694947,16,0.0001,4.089829
682,3693249371,16,0.0001,4.302164
543,2893127821,16,0.0001,4.590437
334,1879998130,16,0.0001,2.147187
695,3782736483,16,0.0001,3.960293
671,3627479877,16,0.0001,2.080442
320,1826937305,16,0.0001,4.195924
490,2586456437,16,0.0001,3.368678
142,765745768,16,0.0001,1.881407
352,1984510539,16,0.0001,2.119028
703,3851071214,16,0.0001,2.588956
216,1262924356,16,0.0001,4.530241
664,3574567884,16,0.0001,4.285516
240,1399431050,16,0.0001,5.26725
534,2816552218,16,0.0001,2.226479
402,2188713250,16,0.0001,5.146012
159,911321210,16,0.0001,3.544545
487,2563941125,16,0.0001,1.820124
326,1851520484,16,0.0001,1.764986
439,2353650934,16,0.0001,5.183488
328,1861950617,16,0.0001,1.458256
336,1886159209,16,0.0001,1.967722
702,3847276037,16,0.0001,3.999195
69,444967542,16,0.0001,4.561875
276,1584895659,16,0.0001,2.378205
615,3246934513,16,0.0001,5.965966
52,348011699,16,0.0001,2.504716
496,2621121542,16,0.0001,9.009315
706,3863076800,16,0.0001,5.479721
472,2491809171,16,0.0001,3.348245
744,4009565933,16,0.0001,1.572949
760,4076480937,16,0.0001,3.919815
474,2497285268,16,0.0001,5.834991
318,1817351433,16,0.0001,2.592168
153,861342595,16,0.0001,4.356184
593,3139800219,16,0.0001,4.289151
431,2314519495,16,0.0001,5.507524
170,975156646,16,0.0001,2.838177
726,3944383927,16,0.0001,6.334235
441,2364231425,16,0.0001,2.616712
188,1095492092,16,0.0001,2.001476
399,2181939717,16,0.0001,4.640738
274,1577402820,16,0.0001,2.237944
191,1121587185,16,0.0001,4.671762
649,3492737188,16,0.0001,3.673692
722,3922118773,16,0.0001,5.661391
786,4210724956,16,0.0001,5.252226
611,3230041760,16,0.0001,2.439593
785,4195440107,16,0.0001,1.888605
231,1346417140,16,0.0001,3.124064
79,482127173,16,0.0001,2.777402
