index,seed,epsilon,learning_rate,mse_x100
625,3294508113,10,0.0001,1.159019
270,1567316106,10,0.0001,1.15219
471,2487937366,10,0.0001,0.983633
506,2656397739,10,0.0001,0.99848
212,1237334616,10,0.0001,0.858957
640,3407505284,10,0.0001,0.869999
412,2241739480,10,0.0001,1.06047
637,3395767071,10,0.0001,0.871986
130,717615322,10,0.0001,0.978285
669,3611889259,10,0.0001,0.942369
516,2690709307,10,0.0001,0.9276
164,932410737,10,0.0001,1.00894
21,132138180,10,0.0001,1.011712
113,653467171,10,0.0001,0.8806
58,388515000,10,0.0001,1.033681
218,1268563555,10,0.0001,1.031973
766,4105568600,10,0.0001,0.901225
708,3868261004,10,0.0001,0.925431
394,2151880334,10,0.0001,1.046162
214,1251138396,10,0.0001,0.898615
232,1355468786,10,0.0001,0.95078
367,2072026239,10,0.0001,1.156406
317,1810198714,10,0.0001,1.019281
78,479815976,10,0.0001,1.003392
553,2956320264,10,0.0001,1.124831
601,3190569566,10,0.0001,0.996011
18,109829537,10,0.0001,0.885758
541,2862748497,10,0.0001,0.977385
388,2142096960,10,0.0001,1.062127
206,1193539236,10,0.0001,0.993427
289,1662047706,10,0.0001,1.117086
234,1356025002,10,0.0001,0.944375
540,2861747614,10,0.0001,0.98206
687,3721306153,10,0.0001,1.081729
398,2178077735,10,0.0001,0.910647
321,1828261471,10,0.0001,0.887746
552,2953303914,10,0.0001,0.923363
717,3907182663,10,0.0001,0.921926
499,2633060670,10,0.0001,0.935479
264,1554171906,10,0.0001,1.067559
12,81376418,10,0.0001,1.021626
434,2326594845,10,0.0001,0.929189
696,3806162886,10,0.0001,0.990067
648,3489233701,10,0.0001,1.030368
229,1334454980,10,0.0001,0.983139
68,444574582,10,0.0001,1.093886
128,715389675,10,0.0001,1.103532
639,3406430428,10,0.0001,1.105042
426,2286060493,10,0.0001,0.830793
684,3715025430,10,0.0001,1.043008
263,1547018033,10,0.0001,0.932282
725,3937593489,10,0.0001,1.056457
187,1087633206,10,0.0001,1.072158
587,3114679737,10,0.0001,0.980947
697,3814889138,10,0.0001,1.03767
799,4293992114,10,0.0001,1.081013
195,1142369558,10,0.0001,1.034847
435,2329735936,10,0.0001,0.920307
617,3254095427,10,0.0001,1.031699
599,3176968626,10,0.0001,1.104341
670,3626774581,10,0.0001,1.096133
16,99532446,10,0.0001,0.914424
699,3826863152,10,0.0001,1.08779
667,3593303030,10,0.0001,1.048931
134,736222544,10,0.0001,0.888928
613,3241846684,10,0.0001,0.891195
561,3002124248,10,0.0001,0.949862
570,3051814239,10,0.0001,1.023551
421,2265877824,10,0.0001,1.12022
616,3251664631,10,0.0001,1.069273
581,3077519216,10,0.0001,1.110219
442,2364649842,10,0.0001,0.922887
369,2083604620,10,0.0001,0.95929
557,2986934412,10,0.0001,1.094386
571,3052818142,10,0.0001,1.144847
585,3104109061,10,0.0001,0.984978
416,2250412969,10,0.0001,0.902748
102,594246501,10,0.0001,1.012274
7,56765849,10,0.0001,0.936994
633,3366535515,10,0.0001,1.135311
517,2690764351,10,0.0001,1.062123
376,2108367997,10,0.0001,0.907349
597,3174739715,10,0.0001,0.926052
463,2463941285,10,0.0001,1.120933
201,1163499228,10,0.0001,0.952567
563,3004948968,10,0.0001,1.129849
642,3414909485,10,0.0001,1.011763
311,1764398295,10,0.0001,1.230808
48,313382871,10,0.0001,1.004921
205,1185413329,10,0.0001,0.983237
9,68549904,10,0.0001,1.051673
224,1288653364,10,0.0001,1.069309
770,4114599217,10,0.0001,1.0508
50,342303009,10,0.0001,0.916699
163,928292012,10,0.0001,0.876877
160,915591857,10,0.0001,1.015842
488,2569099080,10,0.0001,0.885279
447,2390678237,10,0.0001,0.986971
171,975858868,10,0.0001,0.994372
308,1748619445,10,0.0001,0.970293
127,712892409,10,0.0001,1.020374
767,4108527187,10,0.0001,0.966035
175,998479700,10,0.0001,0.935949
11,74293199,10,0.0001,1.149282
40,262694947,10,0.0001,1.007577
682,3693249371,10,0.0001,1.102141
46,284928499,10,0.0001,1.04337
792,4237116011,10,0.0001,1.005635
711,3879599126,10,0.0001,1.05247
53,348643470,10,0.0001,0.985971
543,2893127821,10,0.0001,1.077523
334,1879998130,10,0.0001,1.049695
656,3513855289,10,0.0001,1.103658
347,1956577538,10,0.0001,0.965505
772,4127615786,10,0.0001,1.06671
671,3627479877,10,0.0001,1.040529
