index,fusion method,rgb_equalization,th_equalization,R,P,mAP50,mAP50-95
0,VT,none,none,0.9108648518429294,0.9695712136442429,0.9660848500407262,0.662673194921864
1,VT,none,none,0.921344254396531,0.9679153315881716,0.9714519054712721,0.6700920569484503
2,VT,none,none,0.9067694531438207,0.9596909604889734,0.9637885572422975,0.6628378088511497
3,VT,none,none,0.9233919537460853,0.9650305009811737,0.9721423803434018,0.6674316755017322
4,VT,none,none,0.9167018540261935,0.9621971605080725,0.9674125100223534,0.6723751300408026
5,VT,none,none,0.9126826175730054,0.9637501019665563,0.9679220935504651,0.6663113310775417
6,VT,none,none,0.9039990363767767,0.9653447378891606,0.9639158911470099,0.6490727876302541
7,VT,none,none,0.9165261382799326,0.9641338918228443,0.9667008634263691,0.6731666867169113
8,VT,none,none,0.9213752015888048,0.9673717443000969,0.9730497040816174,0.6717377891080706
9,VT,none,none,0.9161541892008447,0.9643713537621944,0.9681181294005582,0.6601571321760186
10,VT,none,none,0.8948446157552397,0.9517861655029147,0.9557940049998489,0.6399256744852919
11,VT,none,none,0.8995654592197594,0.9560886505612294,0.9595952086077206,0.6486383908804851
12,VT,none,none,0.9156921677157766,0.9633763524083294,0.9654953663781091,0.6621374656613026
13,VT,none,none,0.9186891862552345,0.9665439845527249,0.9693206779965449,0.6628921331423931
14,VT,none,none,0.9201397253673813,0.9653592719259684,0.9680577395095099,0.657446317583543
15,VT,none,none,0.8946037099494097,0.919506686643682,0.9582718114883809,0.6574963945128288
16,VT,none,none,0.9162852324741027,0.9649196638305858,0.968053322061868,0.6686365346882441
17,VT,none,none,0.9050983449521954,0.9669288613691011,0.9629382493027684,0.6453712723403691
18,VT,none,none,0.9149602505420381,0.9628642295572261,0.9667119363186499,0.6596257117515698
19,VT,none,none,0.9132941059585241,0.9653687046006163,0.9661912424516822,0.6589519769612091
20,VT,none,none,0.9305793869031643,0.9641817273794492,0.9737999323636598,0.6792508072604165
21,VT,none,none,0.9097649586688373,0.960452035383928,0.9648981787689709,0.653738204957726
22,VT,none,none,0.9077330763671404,0.9629773537463558,0.962665740122121,0.6376451294568122
23,VT,none,none,0.9271771570815978,0.9663545875868313,0.9726070981897252,0.6759061977919327
24,VT,none,none,0.9017104312213924,0.9690312928951678,0.9602911118643058,0.6405533068684303
25,VT,none,none,0.9154420621536979,0.9627372373306348,0.9677039442398889,0.6623374905119759
26,VT,none,none,0.9235355868998365,0.9625872189676156,0.9714679643172908,0.6743164495883623
27,VT,none,none,0.9174897615032522,0.9655758098745864,0.9679834206143471,0.6668316367896061
28,VT,none,none,0.895813363351306,0.9555443776207857,0.9552692381431424,0.6351558073856565
29,VT,none,none,0.9098519542589245,0.9624136352621062,0.9650893246638169,0.6630060362095761
30,VT,clahe,clahe,0.8899653688861109,0.9609806471734988,0.955259810546247,0.6427750917676736
31,VT,clahe,clahe,0.9184533847265719,0.9571461672014634,0.9623064808848991,0.6588921414439287
32,VT,clahe,clahe,0.9026740544447122,0.9656318022327623,0.9636879763187293,0.6606938657362604
33,VT,clahe,clahe,0.9003854492893278,0.9599961626993581,0.9597904007047585,0.6537627851202493
34,VT,clahe,clahe,0.9236198979032031,0.9590988865838296,0.9683595590851909,0.6649493722894243
35,VT,clahe,clahe,0.918212478920742,0.9623581190016588,0.9643490197212902,0.6652500105138766
36,VT,clahe,clahe,0.9092979090871165,0.9559325837629071,0.9627884927535716,0.6624919683940746
37,VT,clahe,clahe,0.912847119985962,0.949270095370498,0.9622253986704484,0.661269489122951
38,VT,clahe,clahe,0.9065004838613607,0.9678488308366456,0.964961300998608,0.6619210102691733
39,VT,clahe,clahe,0.8961927779381406,0.9658583109984789,0.9580920614256254,0.6529430476616169
40,VT,clahe,clahe,0.9141170802216333,0.9535191344737441,0.9630377652392463,0.6580746092194785
41,VT,clahe,clahe,0.9085150857916457,0.96395932254507,0.9631502558909157,0.6576367939900033
42,VT,clahe,clahe,0.8977354854251988,0.9498111246334767,0.960376376459644,0.6617838634874549
43,VT,clahe,clahe,0.9041194892796917,0.9539194515702629,0.964216302799819,0.6585975637066628
44,VT,clahe,clahe,0.909655741021677,0.9580107069154818,0.9607362010299674,0.6492256114384831
45,VT,clahe,clahe,0.9135148157070585,0.9523778583247688,0.9614610616574897,0.6614841408269762
46,VT,clahe,clahe,0.9048422066971814,0.9667063552528222,0.9613993978253301,0.6605889143555402
47,VT,clahe,clahe,0.9083261772975095,0.9430960068118077,0.9614934065548566,0.6614322113602497
48,VT,clahe,clahe,0.8853288364249579,0.9431264139494198,0.9479007466179487,0.6229701169753072
49,VT,clahe,clahe,0.8971559691065032,0.9527963302736018,0.9582426028825873,0.6542825767997553
50,VT,clahe,clahe,0.9036818764595205,0.9604422627160658,0.9620443763954809,0.6600384845041181
51,VT,clahe,clahe,0.9150218877031694,0.9533162508982591,0.9588979486426541,0.6578005860335002
52,VT,clahe,clahe,0.9025536015417972,0.9596361574274811,0.9598170438465368,0.6555454731397212
53,VT,clahe,clahe,0.8944832570464948,0.9560172383254674,0.9605295889203824,0.6536640167582388
54,VT,clahe,clahe,0.9141170802216333,0.9587624691988729,0.9628978881779069,0.6542139526362388
55,VT,clahe,clahe,0.9032964245864752,0.9498427322625913,0.9597263877927047,0.6529014265459917
56,VT,clahe,clahe,0.9079791065457169,0.9506876147838252,0.9603591749903586,0.6495151509746069
57,VT,clahe,clahe,0.9164056853770176,0.9591619185105568,0.9608611761934789,0.6541952183868293
58,VT,clahe,clahe,0.9088171524933751,0.9566778367826144,0.9622253575759,0.6568051033568121
59,VT,clahe,clahe,0.9011081667068176,0.9661992483945516,0.9618009600367151,0.6590503791507463
60,VT,clahe,none,0.9185366608075995,0.9538443718829008,0.9675184827667734,0.6729898401801342
61,VT,clahe,none,0.9196579137557215,0.9524986288808535,0.9702892489991686,0.6555621589938677
62,VT,clahe,none,0.9132097045250502,0.9607170628050947,0.9688702298428366,0.6529144101474313
63,VT,clahe,none,0.9243988518862043,0.9582935792455765,0.9695150976366609,0.6622173469395018
64,VT,clahe,none,0.9253102174687334,0.9637432311946985,0.972482633767179,0.657176338160882
65,VT,clahe,none,0.9160443266682727,0.9538391353481023,0.9680983542437137,0.6564198111289218
66,VT,clahe,none,0.9286187536609122,0.9591907468526129,0.9741543223268927,0.6717013818642609
67,VT,clahe,none,0.9149602505420381,0.9502019918661668,0.9677952685674228,0.6571678280650237
