,index,seed,batch_size,learning_rate,accuracy
0,0,1499372471,10,0.001,99.27
1,0,1499372471,10,0.005,99.21
2,0,1499372471,10,0.01,99.0
3,0,1499372471,40,0.001,99.5
4,0,1499372471,40,0.005,99.21
5,0,1499372471,40,0.01,99.3
6,0,1499372471,70,0.001,99.14
7,0,1499372471,70,0.005,99.0
8,0,1499372471,70,0.01,99.08
9,1,1873802021,10,0.001,99.36
10,1,1873802021,10,0.005,99.3
11,1,1873802021,10,0.01,99.28
12,1,1873802021,40,0.001,99.42999999999999
13,1,1873802021,40,0.005,99.31
14,1,1873802021,40,0.01,99.31
15,1,1873802021,70,0.001,99.09
16,1,1873802021,70,0.005,98.5
17,1,1873802021,70,0.01,98.94
26,3,4161629677,10,0.001,99.38
27,3,4161629677,10,0.005,99.24
28,3,4161629677,10,0.01,99.18
29,3,4161629677,40,0.001,99.49
30,3,4161629677,40,0.005,99.33
31,3,4161629677,40,0.01,99.18
32,3,4161629677,70,0.001,99.06
33,3,4161629677,70,0.005,98.99
34,3,4161629677,70,0.01,99.08
35,4,3320087860,10,0.001,99.32
36,4,3320087860,10,0.005,99.15
37,4,3320087860,10,0.01,99.15
38,4,3320087860,40,0.001,99.44
39,4,3320087860,40,0.005,99.36
40,4,3320087860,40,0.01,99.32
41,4,3320087860,70,0.001,99.28
42,4,3320087860,70,0.005,98.75
43,4,3320087860,70,0.01,98.76
44,5,3440825174,10,0.001,99.41
45,5,3440825174,10,0.005,99.29
46,5,3440825174,10,0.01,99.06
47,5,3440825174,40,0.001,99.4
48,5,3440825174,40,0.005,99.16
49,5,3440825174,40,0.01,99.32
50,5,3440825174,70,0.001,98.88
51,5,3440825174,70,0.005,99.18
52,5,3440825174,70,0.01,98.83999999999999
53,6,3984784481,10,0.001,99.49
54,6,3984784481,10,0.005,99.22999999999999
55,6,3984784481,10,0.01,98.92
56,6,3984784481,40,0.001,99.35000000000001
57,6,3984784481,40,0.005,99.19
58,6,3984784481,40,0.01,99.27
59,6,3984784481,70,0.001,99.11
60,6,3984784481,70,0.005,99.16
61,6,3984784481,70,0.01,98.61999999999999
62,7,4200461366,10,0.001,99.35000000000001
63,7,4200461366,10,0.005,99.33
64,7,4200461366,10,0.01,99.25
65,7,4200461366,40,0.001,99.52
66,7,4200461366,40,0.005,99.24
67,7,4200461366,40,0.01,99.3
68,7,4200461366,70,0.001,99.17
69,7,4200461366,70,0.005,98.86
70,7,4200461366,70,0.01,98.57000000000001
71,8,2357755444,10,0.001,99.09
72,8,2357755444,10,0.005,99.3
73,8,2357755444,10,0.01,99.29
74,8,2357755444,40,0.001,99.28
75,8,2357755444,40,0.005,99.33
76,8,2357755444,40,0.01,99.27
77,8,2357755444,70,0.001,98.95
78,8,2357755444,70,0.005,99.06
79,8,2357755444,70,0.01,98.72999999999999
80,9,2589165334,10,0.001,99.27
81,9,2589165334,10,0.005,99.09
82,9,2589165334,10,0.01,99.41
83,9,2589165334,40,0.001,99.51
84,9,2589165334,40,0.005,99.31
85,9,2589165334,40,0.01,99.37
86,9,2589165334,70,0.001,98.55000000000001
87,9,2589165334,70,0.005,99.00999999999999
88,9,2589165334,70,0.01,98.81
89,10,3635465597,10,0.001,99.2
90,10,3635465597,10,0.005,99.26
91,10,3635465597,10,0.01,99.15
92,10,3635465597,40,0.001,99.52
93,10,3635465597,40,0.005,99.17
94,10,3635465597,40,0.01,99.21
95,10,3635465597,70,0.001,99.03999999999999
96,10,3635465597,70,0.005,99.09
97,10,3635465597,70,0.01,98.97
98,11,843939594,10,0.001,99.35000000000001
99,11,843939594,10,0.005,99.1
